rang_societe;identifiant_societe;denomination;domaines;categories;nb_etablissements;nb_villes;villes;departements;adresses;meilleure_priorite;score_max;score_moyen
14635;417544848;TIFINAGH;PRIVE;PRIV_RESTAURANT;1;1;PARIS;75;17 AVENUE RACHEL 75018 PARIS;TIEDE;50;50.0
14636;417632643;BERNARD FOUKE;PRIVE;PRIV_SANTE_CABINET;1;1;NEUILLY-SUR-SEINE;92;HOP AMERICAIN-SCE URGENCES 67 BOULEVARD VICTOR HUGO 92200 NEUILLY-SUR-SEINE;TIEDE;50;50.0
14637;417720448;DUC NGUYEN;PRIVE;PRIV_SANTE_CABINET;1;1;PARIS;75;78 AVENUE DE SUFFREN 75015 PARIS;TIEDE;50;50.0
14638;417758455;ANNE FORTIER (ANNE FORTIER);PRIVE;PRIV_SANTE_CENTRE;1;1;PANTIN;93;24 QUAI DE L’AISNE 93500 PANTIN;TIEDE;50;50.0
14639;417789815;SYLVAIN POURCHET;PRIVE;PRIV_SANTE_CABINET;1;1;PARIS;75;22 RUE DU QUATRE SEPTEMBRE 75002 PARIS;TIEDE;50;50.0
14640;417877032;NICOLE STERNADEL (TERRAIL);PRIVE;PRIV_SANTE_CENTRE;1;1;PARIS;75;43 RUE DE LAPPE 75011 PARIS;TIEDE;50;50.0
14641;417919081;TRANSACTIONS IMMMOBILIERES A.VIDAL;PRIVE;IMMO_AGENCE;1;1;PARIS;75;16 B RUE LAURISTON 75016 PARIS;TIEDE;50;50.0
14642;417932977;JOSSELIN DIACQUENOD;PRIVE;PRIV_SANTE_CENTRE;1;1;PARIS;75;18 AVENUE DU BEL AIR 75012 PARIS;TIEDE;50;50.0
14643;417933835;NATHALIE HURTAUD;PRIVE;PRIV_SANTE_CABINET;1;1;PARIS;75;44 AVENUE THEOPHILE GAUTIER 75016 PARIS;TIEDE;50;50.0
14644;417978277;CECILE SEJOURNE (MAHE);PRIVE;PRIV_SANTE_CENTRE;1;1;CLAMART;92;40 RUE BONNELAIS 92140 CLAMART;TIEDE;50;50.0
14645;417984861;VINCENT LANDREAU;PRIVE;PRIV_SANTE_CENTRE;1;1;VANVES;92;5 RUE LOUIS BLANC 92170 VANVES;TIEDE;50;50.0
14646;418049938;DANIEL THORPE;PRIVE;PRIV_SANTE_CABINET;1;1;PARIS;75;8 SQUARE THIERS 75016 PARIS;TIEDE;50;50.0
14647;418067724;ATELIERS LOFTS ET ASSOCIES;PRIVE;IMMO_AGENCE;1;1;PARIS;75;21 RUE GRENETA 75002 PARIS;TIEDE;50;50.0
14648;418085817;NATHALIE SILVIE;PUBLIC;PUB_MUSEE;1;1;PARIS;75;49 RUE DE TURENNE 75003 PARIS;TIEDE;50;50.0
14649;418094264;JACQUELINE BLARY;PRIVE;PRIV_SANTE_CENTRE;1;1;PARIS;75;17 RUE ALBERT BAYET 75013 PARIS;TIEDE;50;50.0
14650;418213815;LE BISTROT GOURMAND;PRIVE;PRIV_RESTAURANT;1;1;PARIS;75;28 RUE GUERSANT 75017 PARIS;TIEDE;50;50.0
14651;418262895;LAHCENE ZIDANE;PRIVE;PRIV_SANTE_CABINET;1;1;PARIS;75;33 RUE DE BELLECHASSE 75007 PARIS;TIEDE;50;50.0
14652;418296729;GABRIEL BENZAQUEN;PRIVE;PRIV_SANTE_CABINET;1;1;PARIS;75;87 BOULEVARD DE PORT-ROYAL 75013 PARIS;TIEDE;50;50.0
14653;418299418;SOLVEIG DARRIGO;PRIVE;PRIV_SANTE_CENTRE;1;1;ISSY-LES-MOULINEAUX;92;36 RUE JULES FERRY 92130 ISSY-LES-MOULINEAUX;TIEDE;50;50.0
14654;418302451;ALEXIS SAVIGNY;PRIVE;PRIV_SANTE_CABINET;1;1;PARIS;75;23 AVENUE NIEL 75017 PARIS;TIEDE;50;50.0
14655;418311635;MARION GUY-GRAND;PRIVE;PRIV_SANTE_CENTRE;1;1;SAINT-CLOUD;92;17 RUE PRESCHEZ 92210 SAINT-CLOUD;TIEDE;50;50.0
14656;418320255;DANIEL GRANDISSON (CABINET MEDICAL);PRIVE;PRIV_SANTE_CABINET;1;1;ASNIERES-SUR-SEINE;92;14 RUE GALLIENI 92600 ASNIERES-SUR-SEINE;TIEDE;50;50.0
14657;418322657;CLAIRE FINANCE;PRIVE;PRIV_SANTE_CABINET;1;1;PARIS;75;32 RUE PAUL BELMONDO 75012 PARIS;TIEDE;50;50.0
14658;418372918;SNACK TIME;PRIVE;PRIV_RESTAURANT;1;1;PARIS 18;75;96 BD ROCHECHOUART 75018 PARIS 18;TIEDE;50;50.0
14659;418428850;CHRISTIANE BATHELIER;PRIVE;PRIV_SANTE_CENTRE;1;1;BOULOGNE-BILLANCOURT;92;31 RUE DE LA ROCHEFOUCAULD 92100 BOULOGNE-BILLANCOURT;TIEDE;50;50.0
14660;418487195;THIERRY BERROU;PRIVE;PRIV_SANTE_CENTRE;1;1;CLAMART;92;74-76 74 AVENUE VICTOR HUGO 92140 CLAMART;TIEDE;50;50.0
14661;418520730;CHAMERAL;PRIVE;PRIV_RESTAURANT;1;1;PARIS;75;3 RUE ERNEST CRESSON 75014 PARIS;TIEDE;50;50.0
14662;418550281;ALAIN FARMACHI;PRIVE;PRIV_SANTE_CABINET;1;1;PARIS;75;80 RUE DE MIROMESNIL 75008 PARIS;TIEDE;50;50.0
14663;418550703;VERONIQUE LOPEZ;PRIVE;PRIV_SANTE_CABINET;1;1;PARIS;75;285 RUE DE VAUGIRARD 75015 PARIS;TIEDE;50;50.0
14664;418553897;ISABELLE DAURE (JENTET);PRIVE;PRIV_SANTE_CENTRE;1;1;BOULOGNE-BILLANCOURT;92;112 AVENUE VICTOR HUGO 92100 BOULOGNE-BILLANCOURT;TIEDE;50;50.0
14665;418600946;ASSOC CD ROM RESISTANCE ILE DE FRANCE (CRR-IDF);PUBLIC;PUB_MUSEE;1;1;PARIS;75;16 A 18 16 PLACE DUPLEIX 75015 PARIS;TIEDE;50;50.0
14666;418680062;VERONIQUE SABATIER (BERTRAND);PRIVE;PRIV_SANTE_CABINET;1;1;PARIS;75;15 AVENUE DUQUESNE 75007 PARIS;TIEDE;50;50.0
14667;418680369;JEAN ROMEO;PRIVE;PRIV_SANTE_CABINET;1;1;PARIS;75;SELARL DES DR DENIS ZAGO ET ROMEO 29 RUE DU COLISEE 75008 PARIS;TIEDE;50;50.0
14668;418730297;LA TAVERNE DE MONTMARTRE;PRIVE;PRIV_RESTAURANT;1;1;PARIS;75;25 A 27 25 RUE GABRIELLE 75018 PARIS;TIEDE;50;50.0
14669;418781449;PIZZERIA MIMMO;PRIVE;PRIV_RESTAURANT;1;1;PARIS;75;14 RUE SAINT-DENIS 75001 PARIS;TIEDE;50;50.0
14670;418818951;MICHEL MOLLARD;PRIVE;PRIV_SANTE_CABINET;1;1;PARIS;75;18 RUE VIGNON 75009 PARIS;TIEDE;50;50.0
14671;418834388;AGENCE CONSEIL GAMBETTA IMMOBILIER;PRIVE;IMMO_AGENCE;1;1;PARIS;75;83 AVENUE GAMBETTA 75020 PARIS;TIEDE;50;50.0
14672;418895447;BERTRAND VIARD;PRIVE;PRIV_SANTE_CABINET;1;1;SAINT-CLOUD;92;1 PARC DE BEARN 92210 SAINT-CLOUD;TIEDE;50;50.0
14673;418906921;MARIE JUAN;PRIVE;PRIV_SANTE_CENTRE;1;1;PARIS;75;11 RUE SAMSON 75013 PARIS;TIEDE;50;50.0
14674;419049275;CORINNE BENZAKINE (TOUBOUL);PRIVE;PRIV_SANTE_CABINET;1;1;COURBEVOIE;92;20 T RUE DE BEZONS 92400 COURBEVOIE;TIEDE;50;50.0
14675;419064670;AU PETIT BACCHUS;PRIVE;PRIV_RESTAURANT;1;1;PARIS;75;61 RUE SAINT-LOUIS EN L'ILE 75004 PARIS;TIEDE;50;50.0
14676;419072392;MONIA BENOIT (HAOUAS);PRIVE;PRIV_SANTE_CABINET;1;1;NEUILLY-SUR-SEINE;92;1 RUE BERTEAUX DUMAS 92200 NEUILLY-SUR-SEINE;TIEDE;50;50.0
14677;419097522;LILIANA GONZALEZ;PRIVE;PRIV_SANTE_CENTRE;1;1;PARIS;75;32 RUE FAIDHERBE 75011 PARIS;TIEDE;50;50.0
14678;419120696;ROSENN LE PAGE;PUBLIC;PUB_MUSEE;1;1;ASNIERES-SUR-SEINE;92;2 RUE LIOUVILLE 92600 ASNIERES-SUR-SEINE;TIEDE;50;50.0
14679;419371091;CLUB DES VA L HEUREUX;PUBLIC;PUB_MUSEE;1;1;PARIS;75;27 RUE RODIER 75009 PARIS;TIEDE;50;50.0
14680;419429105;MICHEL CHAN;PRIVE;PRIV_RESTAURANT;1;1;PARIS;75;140 AVENUE JEAN JAURES 75019 PARIS;TIEDE;50;50.0
14681;419443080;CENTRE SOINS FRANCISCAINES NOTRE DAME;PRIVE;PRIV_SANTE_CABINET;1;1;MONTMORENCY;95;29 RUE DU MARCHE 95160 MONTMORENCY;TIEDE;50;50.0
14682;419456827;CIG CHATILLON IMMOBILIER GESTION;PRIVE;IMMO_AGENCE;1;1;CHATILLON;92;23 AVENUE DE VERDUN 92320 CHATILLON;TIEDE;50;50.0
14683;419477310;BERTRAND JUILLARD;PRIVE;PRIV_SANTE_CABINET;1;1;PARIS;75;29 RUE DES VINAIGRIERS 75010 PARIS;TIEDE;50;50.0
14684;419499629;IRENE LOMBARD DE BUFFIERES;PRIVE;PRIV_SANTE_CENTRE;1;1;PARIS;75;65 RUE TRAVERSIERE 75012 PARIS;TIEDE;50;50.0
14685;419510243;BEAULIEU IMMOBILIER;PRIVE;IMMO_AGENCE;1;1;PARIS;75;49 RUE BOULARD 75014 PARIS;TIEDE;50;50.0
14686;419529664;SANDRINE LAMOINE;PRIVE;PRIV_SANTE_CENTRE;1;1;PARIS;75;48-50-BAL 21 BAT B 48 AVENUE PHILIPPE-AUGUSTE 75011 PARIS;TIEDE;50;50.0
14687;419545900;LAURE AGUETTANT (D ACREMONT);PRIVE;PRIV_SANTE_CABINET;1;1;ARGENTEUIL;95;2 RUE GAMBETTA 95100 ARGENTEUIL;TIEDE;50;50.0
14688;419633698;CHARTIER LEVALLOIS (L. ET LES GARCONS);PRIVE;PRIV_RESTAURANT;1;1;LEVALLOIS PERRET;92;146 RUE DU PDT WILSON 92300 LEVALLOIS PERRET;TIEDE;50;50.0
14689;419698717;JEROME DEBAISIEUX;PRIVE;PRIV_SANTE_CABINET;1;1;PARIS;75;87 BOULEVARD DE PORT-ROYAL 75013 PARIS;TIEDE;50;50.0
14690;419709282;PIERRE UZAN;PRIVE;PRIV_SANTE_CABINET;1;1;PARIS;75;23 RUE JEAN LECLAIRE 75017 PARIS;TIEDE;50;50.0
14691;419765789;SYLVIE PECHON;PRIVE;PRIV_SANTE_CENTRE;1;1;LES LILAS;93;19 RUE LEON RENAULT 93260 LES LILAS;TIEDE;50;50.0
14692;419939632;PIERRE FLORI;PRIVE;PRIV_SANTE_CABINET;1;1;PARIS 14;75;4 RUE DES MARINIERS 75014 PARIS 14;TIEDE;50;50.0
14693;419973185;CENTRE LASER (CL);PRIVE;PRIV_SANTE_CABINET;1;1;PARIS;75;29 AVENUE DE SUFFREN 75007 PARIS;TIEDE;50;50.0
14694;420015406;HERVE GANRY;PRIVE;PRIV_SANTE_CABINET;1;1;PARIS;75;50 RUE POUSSIN 75016 PARIS;TIEDE;50;50.0
14695;420148264;MARIE-ANGE CONSTANCIAS;PRIVE;PRIV_SANTE_CABINET;1;1;PARIS 16;75;CCPE 5 SQ ECRIVAINS COMBAT MORTS FRANCE 75016 PARIS 16;TIEDE;50;50.0
14696;420168833;LUC NABET;PRIVE;PRIV_SANTE_CABINET;1;1;PARIS;75;11 AVENUE RENE COTY 75014 PARIS;TIEDE;50;50.0
14697;420211278;GWENAEL DABO;PRIVE;PRIV_SANTE_CABINET;1;1;PARIS;75;87 BOULEVARD DE PORT-ROYAL 75013 PARIS;TIEDE;50;50.0
14698;420254526;SCDF GUIGUI-ROTENBERG;PRIVE;PRIV_SANTE_CABINET;1;1;NEUILLY-SUR-SEINE;92;26 BOULEVARD VICTOR HUGO 92200 NEUILLY-SUR-SEINE;TIEDE;50;50.0
14699;420273393;FRANCOIS DENIAUD;PRIVE;PRIV_SANTE_CABINET;1;1;PARIS;75;12 RUE DU DOCTEUR FINLAY 75015 PARIS;TIEDE;50;50.0
14700;420418204;ASS POUR L'ENSEIGNEMENT BILINGUE;PUBLIC;PUB_ECOLE;1;1;MEUDON;92;2 AVENUE DU MARECHAL JOFFRE 92190 MEUDON;TIEDE;50;50.0
14701;420421893;MICHEL SOUSSAN;PRIVE;PRIV_SANTE_CABINET;1;1;PARIS;75;7 RUE YVON VILLARCEAU 75016 PARIS;TIEDE;50;50.0
14702;420431744;ACQUISITION ET STRATEGIE IMMOBILIERE (ASI);PRIVE;IMMO_AGENCE;1;1;PARIS;75;33 RUE DE NAPLES 75008 PARIS;TIEDE;50;50.0
14703;420433849;HUBERT PIERACT;PRIVE;PRIV_SANTE_CABINET;1;1;PARIS;75;3 BOULEVARD HENRI IV 75004 PARIS;TIEDE;50;50.0
14704;420506917;PHILIPPE ADJADJ;PRIVE;PRIV_SANTE_CABINET;1;1;SAINT-DENIS;93;BATIMENT 5 - CITE LA COURTILLE 5 RUE DES MARNAUDES 93200 SAINT-DENIS;TIEDE;50;50.0
14705;420513673;ISABELLE MOREAU;PRIVE;PRIV_SANTE_CABINET;1;1;PARIS;75;21 RUE GEORGES BIZET 75016 PARIS;TIEDE;50;50.0
14706;420513996;ISABELLE GASQUET;PRIVE;PRIV_SANTE_CABINET;1;1;PARIS;75;44 RUE RENE BOULANGER 75010 PARIS;TIEDE;50;50.0
14707;420514010;OLIVIER TARRAGANO;PRIVE;PRIV_SANTE_CABINET;1;1;PARIS;75;32 RUE MOLITOR 75016 PARIS;TIEDE;50;50.0
14708;420527202;EUROPRESTIM MANAGEMENT S.A.S.;PRIVE;IMMO_AGENCE;1;1;PARIS;75;37 RUE LA PEROUSE 75016 PARIS;TIEDE;50;50.0
14709;420720898;MARLENE LE QUENTREC (MICLO);PRIVE;PRIV_SANTE_CENTRE;1;1;PARIS;75;34 B BOULEVARD SAINT-MARCEL 75005 PARIS;TIEDE;50;50.0
14710;420782898;JEAN MOLINA;PRIVE;PRIV_SANTE_CABINET;1;1;PARIS;75;HOPITAL ST LOUIS 1 AVENUE CLAUDE VELLEFAUX 75010 PARIS;TIEDE;50;50.0
14711;420794646;ESQUISITO;PRIVE;PRIV_RESTAURANT;1;1;LEVALLOIS-PERRET;92;73 RUE CARNOT 92300 LEVALLOIS-PERRET;TIEDE;50;50.0
14712;420798761;JEAN GRANIER;PRIVE;PRIV_SANTE_CABINET;1;1;PARIS;75;27 RUE DE TOCQUEVILLE 75017 PARIS;TIEDE;50;50.0
14713;420829442;ROSNY FOOD;PRIVE;PRIV_RESTAURANT;1;1;ROSNY-SOUS-BOIS;93;ZAC DE NANTEUIL 29 RUE JULES FERRY 93110 ROSNY-SOUS-BOIS;TIEDE;50;50.0
14714;420907990;ALEXANDRA COTTEREAU (CHARRIER);PRIVE;PRIV_SANTE_CENTRE;1;1;RUEIL-MALMAISON;92;SCM GALLIENI PARAMEDICAL 67 RUE GALLIENI 92500 RUEIL-MALMAISON;TIEDE;50;50.0
14715;420927238;LAURENCE M SIKA;PRIVE;PRIV_SANTE_CABINET;1;1;PARIS;75;BATIMENT RUE 1ER ETAGE 161 RUE DE JAVEL 75015 PARIS;TIEDE;50;50.0
14716;420939621;PATRICK NATAF;PRIVE;PRIV_SANTE_CABINET;1;1;PARIS;75;46 RUE HENRI HUCHARD 75018 PARIS;TIEDE;50;50.0
14717;420941981;KARINE VINCENT (MOULIN);PRIVE;PRIV_SANTE_CENTRE;1;1;PARIS;75;5 COURS DE VINCENNES 75020 PARIS;TIEDE;50;50.0
14718;420948796;CAROLINE BITOUN;PRIVE;PRIV_SANTE_CABINET;1;1;PARIS;75;1 RUE DE CHAZELLES 75017 PARIS;TIEDE;50;50.0
14719;420979023;ALINE MIZRAHI;PRIVE;PRIV_SANTE_CENTRE;1;1;GENTILLY;94;6 RUE DE LA PAIX 94250 GENTILLY;TIEDE;50;50.0
14720;421128323;SYLVAIN GAUFFRE;PRIVE;PRIV_SANTE_CABINET;1;1;PARIS;75;HALL 19 3 PLACE DE LA PORTE DE VANVES 75014 PARIS;TIEDE;50;50.0
14721;421131848;XAVIER FOURTOU;PRIVE;PRIV_SANTE_CENTRE;1;1;PARIS;75;17 RUE DE LA LANCETTE 75012 PARIS;TIEDE;50;50.0
14722;421183872;DAVID ZERBIB;PRIVE;PRIV_SANTE_CABINET;1;1;CLICHY;92;13 AVENUE CLAUDE DEBUSSY 92110 CLICHY;TIEDE;50;50.0
14723;421253220;BENOIT BRETHON;PRIVE;PRIV_SANTE_CABINET;1;1;PARIS;75;ESC A - 6E ETAGE PORTE 31 75 RUE POUCHET 75017 PARIS;TIEDE;50;50.0
14724;421298340;RAPHAEL SASPORTAS;PRIVE;PRIV_SANTE_CABINET;1;1;LEVALLOIS-PERRET;92;46 RUE DE VILLIERS 92300 LEVALLOIS-PERRET;TIEDE;50;50.0
14725;421315920;FETHI BENSALEM;PRIVE;PRIV_SANTE_CABINET;1;1;PARIS;75;132 AVENUE FELIX FAURE 75015 PARIS;TIEDE;50;50.0
14726;421342866;DAVID BENCHETRIT;PRIVE;PRIV_SANTE_CABINET;1;1;PARIS;75;12 RUE DE PONTHIEU 75008 PARIS;TIEDE;50;50.0
14727;421403627;EVELINE RAPOPORT;PRIVE;PRIV_SANTE_CABINET;1;1;PARIS;75;34 BOULEVARD DU TEMPLE 75011 PARIS;TIEDE;50;50.0
14728;421419540;PATRICIA DUPIN;PRIVE;PRIV_SANTE_CABINET;1;1;PARIS;75;58 BOULEVARD RASPAIL 75006 PARIS;TIEDE;50;50.0
14729;421446360;BELLEVILLE ALIMENTAIRE;PRIVE;PRIV_COMMERCE;1;1;PARIS;75;N°113 AU 115 115 RUE DU FAUBOURG DU TEMPLE 75010 PARIS;TIEDE;50;50.0
14730;421498791;JEAN FOURNERIE;PRIVE;PRIV_SANTE_CABINET;1;1;PARIS;75;87 BOULEVARD DE PORT-ROYAL 75013 PARIS;TIEDE;50;50.0
14731;421501750;PHILIPPINE CERF;PRIVE;PRIV_SANTE_CABINET;1;1;PARIS;75;29 RUE BOULARD 75014 PARIS;TIEDE;50;50.0
14732;421571605;DIANA NEDELEV;PRIVE;PRIV_SANTE_CENTRE;1;1;PARIS;75;24 RUE DE LA VOUTE 75012 PARIS;TIEDE;50;50.0
14733;421582750;LAURE WEBER (CABANES);PRIVE;PRIV_SANTE_CABINET;1;1;PARIS;75;70 RUE DE RENNES 75006 PARIS;TIEDE;50;50.0
14734;421617044;MICHELE MAYER;PRIVE;PRIV_SANTE_CABINET;1;1;PARIS;75;248 BOULEVARD RASPAIL 75014 PARIS;TIEDE;50;50.0
14735;421658881;EXEMPLAIRE IMMOBILIER;PRIVE;IMMO_AGENCE;1;1;PARIS;75;37 RUE DES BLANCS MANTEAUX 75004 PARIS;TIEDE;50;50.0
14736;421922022;VISUAL'ISC;PUBLIC;PUB_MUSEE;1;1;PARIS;75;22 BOULEVARD DU FORT DE VAUX 75017 PARIS;TIEDE;50;50.0
14737;422003566;CHRISTOPHE APER;PRIVE;PRIV_SANTE_CABINET;1;1;PARIS;75;41 RUE DES MARTYRS 75009 PARIS;TIEDE;50;50.0
14738;422058610;STANISLAS POL;PRIVE;PRIV_SANTE_CABINET;1;1;PARIS;75;27 RUE DU FAUBOURG SAINT-JACQUES 75014 PARIS;TIEDE;50;50.0
14739;422062612;PEGGY LIMOSIN;PRIVE;PRIV_SANTE_CENTRE;1;1;PARIS;75;67 BOULEVARD DE PICPUS 75012 PARIS;TIEDE;50;50.0
14740;422130146;LA PETAUDIERE;PRIVE;PRIV_RESTAURANT;1;1;PARIS;75;7 RUE NORVINS 75018 PARIS;TIEDE;50;50.0
14741;422211052;PHILIPPE MEUNIER;PRIVE;PRIV_SANTE_CABINET;1;1;PARIS;75;7 RUE DE LABORDE 75008 PARIS;TIEDE;50;50.0
14742;422276972;ALAIN SBEITI;PRIVE;PRIV_SANTE_CABINET;1;1;PARIS;75;SOS MEDECIN 87 BOULEVARD DE PORT-ROYAL 75013 PARIS;TIEDE;50;50.0
14743;422388553;CORINNE PRAT;PRIVE;PRIV_SANTE_CABINET;1;1;PARIS;75;131 RUE DE VAUGIRARD 75015 PARIS;TIEDE;50;50.0
14744;422411645;ALEXANDRA VATIMBELLA;PRIVE;PRIV_SANTE_CENTRE;1;1;PARIS;75;BAT A2 16 RUE DES ANNELETS 75019 PARIS;TIEDE;50;50.0
14745;422455014;LINE MEUNIER;PRIVE;PRIV_SANTE_CENTRE;1;1;PARIS;75;BUREAU 104 8 RUE BOUCRY 75018 PARIS;TIEDE;50;50.0
14746;422515486;MARIE-GABRIELLE VEGH;PRIVE;PRIV_SANTE_CABINET;1;1;PARIS;75;13 RUE DE LA TREMOILLE 75008 PARIS;TIEDE;50;50.0
14747;422525196;JEAN ASSER;PRIVE;PRIV_SANTE_CABINET;1;1;PARIS;75;89 BOULEVARD PASTEUR 75015 PARIS;TIEDE;50;50.0
14748;422525972;PIERRE BITON;PRIVE;PRIV_SANTE_CENTRE;1;1;PARIS;75;49 RUE DE L'ERMITAGE 75020 PARIS;TIEDE;50;50.0
14749;422653485;CELINE KARACHIAN VILLIEN (GHESQUIERES);PRIVE;PRIV_SANTE_CABINET;1;1;PARIS;75;50 RUE RODIER 75009 PARIS;TIEDE;50;50.0
14750;422719872;OLIVIER GINOUX;PRIVE;PRIV_SANTE_CABINET;1;1;PARIS;75;6 VILLA ADRIENNE SIMON 75014 PARIS;TIEDE;50;50.0
14751;422728618;SARL LE CRISTAL (LE CRISTAL);PRIVE;PRIV_RESTAURANT;1;1;PARIS;75;27 RUE VIGNON 75008 PARIS;TIEDE;50;50.0
14752;422773572;SAADI TIZGUINE;PRIVE;PRIV_RESTAURANT;1;1;PARIS;75;25 RUE DU CHATEAU D'EAU 75010 PARIS;TIEDE;50;50.0
14753;422810697;JOHANNA DERMI;PRIVE;PRIV_SANTE_CENTRE;1;1;PARIS;75;26 PASSAGE RAGUINOT 75012 PARIS;TIEDE;50;50.0
14754;422838599;ELENA PRIA (CULIC);PRIVE;PRIV_SANTE_CABINET;1;1;PARIS;75;81 RUE SAINT-DOMINIQUE 75007 PARIS;TIEDE;50;50.0
14755;422864488;MYRIAM MAUDE KWARTA (KWARTA);PRIVE;PRIV_SANTE_CENTRE;1;1;PARIS;75;46 RUE DES ENVIERGES 75020 PARIS;TIEDE;50;50.0
14756;422867507;JEAN VERCKEN DE VREUSCHMEN;PRIVE;PRIV_SANTE_CABINET;1;1;PARIS;75;17-21 17 RUE DE MONCEAU 75008 PARIS;TIEDE;50;50.0
14757;422882365;BAYDAR;PRIVE;PRIV_RESTAURANT;1;1;IVRY-SUR-SEINE;94;8 PROMENEE MARAT 94200 IVRY-SUR-SEINE;TIEDE;50;50.0
14758;422898742;NICOLAS HACHER;PRIVE;PRIV_SANTE_CABINET;1;1;PARIS;75;2 RUE DE NOISIEL 75016 PARIS;TIEDE;50;50.0
14759;422900811;BONNEUIL FOOD;PRIVE;PRIV_RESTAURANT;1;1;BONNEUIL-SUR-MARNE;94;1 AVENUE DES 28 ARPENTS 94380 BONNEUIL-SUR-MARNE;TIEDE;50;50.0
14760;423024207;AGEXIME;PRIVE;PRIV_COMMERCE;1;1;LARDY;91;10 RUE JACQUES CARTIER 91510 LARDY;TIEDE;50;50.0
14761;423037795;NATHALIE ZAMPIROLLO;PRIVE;PRIV_SANTE_CENTRE;1;1;PARIS;75;19 RUE DE LA COLLEGIALE 75005 PARIS;TIEDE;50;50.0
14762;423107184;LA BLANCHE HERMINE;PRIVE;PRIV_RESTAURANT;1;1;PARIS;75;5 RUE DE PONDICHERY 75015 PARIS;TIEDE;50;50.0
14763;423193028;KASTOORI;PRIVE;PRIV_RESTAURANT;1;1;PARIS;75;4 PLACE GUSTAVE TOUDOUZE 75009 PARIS;TIEDE;50;50.0
14764;423193192;DOV MESSIKA;PRIVE;PRIV_SANTE_CABINET;1;1;NEUILLY-SUR-SEINE;92;57 AVENUE CHARLES DE GAULLE 92200 NEUILLY-SUR-SEINE;TIEDE;50;50.0
14765;423195957;LE PETIT RAPIDE;PRIVE;PRIV_RESTAURANT;1;1;FONTENAY-SOUS-BOIS;94;3 AVENUE VICTOR HUGO 94120 FONTENAY-SOUS-BOIS;TIEDE;50;50.0
14766;423216753;MACHARIA (L'EURO);PRIVE;PRIV_RESTAURANT;1;1;MONTREUIL;93;95 RUE ROBESPIERRE 93100 MONTREUIL;TIEDE;50;50.0
14767;423235035;MARC LEVY;PRIVE;PRIV_SANTE_CABINET;1;1;PARIS;75;19 RUE AMPERE 75017 PARIS;TIEDE;50;50.0
14768;423261403;LES RIVES DE LA COURTILLE;PRIVE;PRIV_RESTAURANT;1;1;CHATOU;78;ILE DES IMPRESSIONNISTES RUE DU BAC 78400 CHATOU;TIEDE;50;50.0
14769;423320654;MAURICE BRAMI;PRIVE;PRIV_SANTE_CENTRE;1;1;PARIS;75;5 RUE DU LUNAIN 75014 PARIS;TIEDE;50;50.0
14770;423363852;KARINE HURY (BELLANGER);PRIVE;PRIV_SANTE_CENTRE;1;1;PARIS;75;62 AVENUE PARMENTIER 75011 PARIS;TIEDE;50;50.0
14771;423427327;SIMINE NAZARI;PRIVE;PRIV_SANTE_CENTRE;1;1;MONTROUGE;92;12 RUE JULES GUESDE 92120 MONTROUGE;TIEDE;50;50.0
14772;423463249;CHLOE RACKOW;PRIVE;PRIV_SANTE_CABINET;1;1;PARIS;75;27 RUE DE TOCQUEVILLE 75017 PARIS;TIEDE;50;50.0
14773;423502756;ISABELLE REAL;PRIVE;PRIV_SANTE_CENTRE;1;1;BAGNOLET;93;35 RUE JULES VERCRUYSSE 93170 BAGNOLET;TIEDE;50;50.0
14774;423560515;AGNES PICARD;PRIVE;PRIV_SANTE_CABINET;1;1;PARIS;75;5 RUE DE LA LOUISIANE 75018 PARIS;TIEDE;50;50.0
14775;423650308;JACQUES CHAVASSIEUX;PRIVE;PRIV_SANTE_CENTRE;1;1;PARIS;75;1 RUE DU DOCTEUR LABBE 75020 PARIS;TIEDE;50;50.0
14776;423663624;ARMANDO COTE;PRIVE;PRIV_SANTE_CENTRE;1;1;PARIS;75;5 RUE BEZOUT 75014 PARIS;TIEDE;50;50.0
14777;423680156;CHRISTOPHE DEKINDT;PRIVE;PRIV_SANTE_CABINET;1;1;PALAISEAU;91;50 BOULEVARD DE LOZERE 91120 PALAISEAU;TIEDE;50;50.0
14778;423711647;MARIANNE FAURE (CHAIGNEAU);PRIVE;PRIV_SANTE_CABINET;1;1;PARIS;75;38 RUE DE SEINE 75006 PARIS;TIEDE;50;50.0
14779;423725910;VERONIQUE BARBE (BABULE);PRIVE;PRIV_SANTE_CABINET;1;1;GENNEVILLIERS;92;55 AVENUE DES GRESILLONS 92230 GENNEVILLIERS;TIEDE;50;50.0
14780;423807775;NATHALIA RENOULT;PRIVE;PRIV_SANTE_CABINET;1;1;LEVALLOIS-PERRET;92;72 RUE ANATOLE FRANCE 92300 LEVALLOIS-PERRET;TIEDE;50;50.0
14781;423922301;MARTINE JARDIN (FAUCONNET);PRIVE;PRIV_SANTE_CABINET;1;1;PARIS;75;7 RUE CHALGRIN 75016 PARIS;TIEDE;50;50.0
14782;423929207;BERTRAND DAVODEAU;PRIVE;PRIV_SANTE_CENTRE;1;1;PARIS;75;2 VILLA DU PARC 75019 PARIS;TIEDE;50;50.0
